UnitId,Types of aid,Type,Category,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
231156,Vermont State Colleges-Office of the Chancellor,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,Loans,Number receiving,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231156,Vermont State Colleges-Office of the Chancellor,-,Average amount,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231165,Vermont Technical College,First-time full-time undergraduates,Total,290,296,257,228,238,254,247,282,291,247,266,250,216,191,200,212
231165,Vermont Technical College,Any aid,Number receiving,242,245,186,195,209,209,219,237,265,217,239,222,202,153,190,184
231165,Vermont Technical College,Federal grants,Number receiving,110,103,109,88,103,85,86,101,110,106,122,111,112,78,77,75
231165,Vermont Technical College,-,Average amount,2465,2266,2590,2660,2995,3463,2810,3181,3620,4023,4167,4241,3924,4302,4285,4554
231165,Vermont Technical College,State/Local grants,Number receiving,139,171,120,100,113,100,91,121,126,119,129,112,113,85,102,94
231165,Vermont Technical College,-,Average amount,1790,2845,1890,1570,1605,1907,1844,1870,1804,1883,1479,1657,1548,1628,1724,2063
231165,Vermont Technical College,Institutional grants,Number receiving,90,138,59,45,57,71,66,79,81,92,101,132,115,93,150,115
231165,Vermont Technical College,-,Average amount,2350,2401,2105,2457,2088,2283,2476,3072,2805,2471,2580,3969,3861,2588,4060,3123
231165,Vermont Technical College,Loans,Number receiving,212,217,174,164,183,177,180,198,238,193,212,187,177,132,165,157
231165,Vermont Technical College,-,Average amount,3061,3110,3225,3085,5332,6308,4286,5051,6676,6274,6101,6995,7580,9250,9079,9749
231174,University of Vermont,First-time full-time undergraduates,Total,1767,1839,1831,1917,1953,2379,2178,2432,2456,2610,2458,2412,2357,2483,2286,2387
231174,University of Vermont,Any aid,Number receiving,1313,1455,1458,1594,1579,2151,1976,2244,2273,2325,2229,2156,2206,2331,2151,2263
231174,University of Vermont,Federal grants,Number receiving,247,301,323,363,350,342,308,349,353,587,548,517,468,459,435,377
231174,University of Vermont,-,Average amount,3878,4067,4188,4067,4195,4174,4482,4837,5370,5737,5745,5239,5256,5013,6822,5328
231174,University of Vermont,State/Local grants,Number receiving,191,245,217,248,235,259,259,465,470,488,419,392,373,392,346,289
231174,University of Vermont,-,Average amount,1786,1995,2420,2252,2194,2271,2247,2648,2992,2899,2258,2434,2415,2748,2749,2857
231174,University of Vermont,Institutional grants,Number receiving,955,1173,1213,1308,1272,1867,1761,2030,2179,2161,2135,2031,2128,2249,2065,2190
231174,University of Vermont,-,Average amount,6206,7089,7710,7756,8964,7110,6894,7389,8576,11851,11083,11253,11976,12773,12761,14447
231174,University of Vermont,Loans,Number receiving,857,914,933,1044,987,1281,1084,1464,1294,1442,1353,1359,1193,1349,1194,1249
231174,University of Vermont,-,Average amount,4234,4688,5010,5665,6286,6747,6487,6521,7778,6267,5963,6695,6748,8275,7983,8475
247649,Landmark College,First-time full-time undergraduates,Total,25,36,59,59,34,54,49,132,130,143,115,125,130,133,95,90
247649,Landmark College,Any aid,Number receiving,20,10,19,19,14,46,30,71,68,96,87,84,98,92,90,73
247649,Landmark College,Federal grants,Number receiving,3,8,4,4,3,7,6,10,23,27,23,22,25,32,24,17
247649,Landmark College,-,Average amount,4367,1625,6250,6250,6067,3096,3908,4874,4589,4847,4730,4919,4722,3899,5965,4868
247649,Landmark College,State/Local grants,Number receiving,3,2,3,3,2,2,3,13,19,21,17,13,23,14,14,11
247649,Landmark College,-,Average amount,6196,9695,11988,11988,475,4037,6424,12796,8953,3938,3883,3881,4164,5807,4488,4602
247649,Landmark College,Institutional grants,Number receiving,7,6,13,13,12,17,20,56,66,88,82,80,98,92,90,67
247649,Landmark College,-,Average amount,13143,4916,7385,7385,1500,13117,12650,12062,16350,18463,19109,18810,23714,23042,26157,22664
