UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
406033,"R",51,"R",2571589,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",223815,"R",11,"R",825133,"Z",0,"Z",0,"R",2,"R",80496,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",30160,"Z",0,"Z",0,"R",32,"R",1411985,"Z",0,"Z",0,"Z",0,"Z",0
406547,"R",27,"R",1326777,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40800,"R",11,"R",721866,"R",2,"R",61048,"R",1,"R",47084,"R",10,"R",400083,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",55896,"Z",0,"Z",0,"Z",0,"Z",0
407009,"R",351,"R",20372853,"R",3,"R",240950,"Z",0,"Z",0,"R",48,"R",2884792,"R",70,"R",6688617,"R",44,"R",2208779,"R",34,"R",1753863,"R",58,"R",2561874,"Z",0,"Z",0,"R",25,"R",1055297,"R",2,"R",126270,"R",50,"R",2060850,"R",16,"R",749491,"R",1,"R",42070
407328,"R",2,"R",125699,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",31200,"R",1,"R",94499,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
407610,"R",3,"R",106665,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",106665,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
407629,"R",235,"R",12485808,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",297076,"R",33,"R",4963717,"R",8,"R",341137,"R",13,"R",520119,"R",17,"R",557563,"R",3,"R",160466,"R",74,"R",2212802,"Z",0,"Z",0,"R",65,"R",3022398,"R",11,"R",410530,"Z",0,"Z",0
408039,"R",12,"R",747286,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",120141,"R",8,"R",554766,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",72379,"Z",0,"Z",0,"Z",0,"Z",0
408312,"R",4,"R",202000,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40000,"R",1,"R",68000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",64000,"R",1,"R",30000,"Z",0,"Z",0,"Z",0,"Z",0
408729,"R",7,"R",248886,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",114411,"R",2,"R",115041,"R",1,"R",19434,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
408844,"R",161,"R",5299075,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",184692,"R",15,"R",994619,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",207038,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",128,"R",3683714,"R",7,"R",229012,"Z",0,"Z",0
