UNITID,CONTRACT,ARANK,XTENUREM,TENUREM,XONTRCKM,ONTRCKM,XNOTRCKM,NOTRCKM,XNOFACTM,NOFACTM,XTENUREW,TENUREW,XONTRCKW,ONTRCKW,XNOTRCKW,NOTRCKW,XNOFACTW,NOFACTW,XEMPCNTT,EMPCNTT 
105172,2,4,"Z",0,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",12
105172,2,7,"Z",0,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",12
105297,1,4,"Z",0,"Z",0,"R",33,"Z",0,"Z",0,"Z",0,"R",22,"Z",0,"R",55
105297,1,7,"Z",0,"Z",0,"R",33,"Z",0,"Z",0,"Z",0,"R",22,"Z",0,"R",55
105330,1,1,"R",162,"Z",0,"R",3,"Z",0,"R",92,"Z",0,"R",1,"Z",0,"R",258
105330,1,2,"R",92,"Z",0,"R",5,"Z",0,"R",69,"R",3,"R",22,"Z",0,"R",191
105330,1,3,"Z",0,"R",45,"R",25,"Z",0,"Z",0,"R",55,"R",53,"Z",0,"R",178
105330,1,4,"Z",0,"Z",0,"R",44,"Z",0,"Z",0,"Z",0,"R",47,"Z",0,"R",91
105330,1,5,"Z",0,"Z",0,"R",58,"Z",0,"Z",0,"Z",0,"R",75,"Z",0,"R",133
105330,1,7,"R",254,"R",45,"R",135,"Z",0,"R",161,"R",58,"R",198,"Z",0,"R",851
105367,2,1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1
105367,2,2,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",3
105367,2,3,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"R",4
105367,2,7,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",3,"Z",0,"R",8
105516,2,6,"Z",0,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",40
105516,2,7,"Z",0,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",40
105534,2,4,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",24
105534,2,7,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",19,"Z",0,"R",24
105589,1,6,"Z",0,"Z",0,"R",26,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"R",53
105589,1,7,"Z",0,"Z",0,"R",26,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"R",53
105589,2,6,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",22
105589,2,7,"Z",0,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",22
105899,2,1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
105899,2,2,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",9
105899,2,3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",4
105899,2,4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
105899,2,7,"Z",0,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",15
106102,2,6,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
106102,2,7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
106245,1,1,"R",88,"Z",0,"R",1,"Z",0,"R",27,"Z",0,"Z",0,"Z",0,"R",116
106245,1,2,"R",54,"R",6,"R",1,"Z",0,"R",35,"R",6,"R",2,"Z",0,"R",104
106245,1,3,"R",1,"R",46,"R",6,"Z",0,"R",4,"R",36,"R",7,"Z",0,"R",100
106245,1,4,"Z",0,"Z",0,"R",27,"Z",0,"Z",0,"Z",0,"R",48,"Z",0,"R",75
106245,1,6,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"Z",0,"Z",0,"R",4,"R",16
106245,1,7,"R",143,"R",52,"R",35,"R",12,"R",66,"R",42,"R",57,"R",4,"R",411
106245,2,1,"R",19,"R",1,"Z",0,"Z",0,"R",11,"Z",0,"R",1,"Z",0,"R",32
106245,2,2,"R",8,"Z",0,"Z",0,"Z",0,"R",6,"R",4,"R",1,"Z",0,"R",19
106245,2,3,"Z",0,"R",2,"R",2,"Z",0,"R",2,"R",1,"R",3,"Z",0,"R",10
106245,2,4,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",9,"Z",0,"R",15
106245,2,6,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",7,"R",9
106245,2,7,"R",27,"R",3,"R",8,"R",2,"R",19,"R",5,"R",14,"R",7,"R",85
106263,2,1,"R",11,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",16
106263,2,2,"R",12,"Z",0,"R",3,"Z",0,"R",19,"Z",0,"R",1,"Z",0,"R",35
106263,2,3,"Z",0,"R",27,"Z",0,"Z",0,"Z",0,"R",41,"Z",0,"Z",0,"R",68
106263,2,4,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"R",20
106263,2,7,"R",23,"R",27,"R",10,"Z",0,"R",24,"R",41,"R",14,"Z",0,"R",139
106306,1,1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
106306,1,4,"Z",0,"Z",0,"R",12,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"R",30
106306,1,7,"R",1,"Z",0,"R",12,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"R",31
106342,1,1,"R",9,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",10
106342,1,2,"R",15,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",20
106342,1,3,"R",1,"R",5,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"R",11
106342,1,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
106342,1,7,"R",25,"R",5,"Z",0,"Z",0,"R",6,"R",5,"R",1,"Z",0,"R",42
106397,1,1,"R",166,"R",1,"Z",0,"Z",0,"R",41,"Z",0,"Z",0,"Z",0,"R",208
106397,1,2,"R",103,"R",3,"Z",0,"Z",0,"R",59,"R",3,"Z",0,"Z",0,"R",168
106397,1,3,"Z",0,"R",85,"Z",0,"Z",0,"Z",0,"R",69,"Z",0,"Z",0,"R",154
106397,1,4,"Z",0,"Z",0,"R",56,"Z",0,"Z",0,"Z",0,"R",88,"Z",0,"R",144
106397,1,5,"Z",0,"Z",0,"R",41,"Z",0,"Z",0,"Z",0,"R",26,"Z",0,"R",67
106397,1,7,"R",269,"R",89,"R",97,"Z",0,"R",100,"R",72,"R",114,"Z",0,"R",741
106397,2,1,"R",121,"R",1,"R",3,"Z",0,"R",27,"Z",0,"R",3,"Z",0,"R",155
106397,2,2,"R",26,"R",2,"R",3,"Z",0,"R",15,"Z",0,"Z",0,"Z",0,"R",46
